"cell_line","reported_sex","XIST_expression..log.thresholds...6.8.","XIST_expression_category","DDX3Y_expression..log.thresholds...6.7.","DDX3Y_expression_category","EIF1AY_expression..log.thresholds...5.6.","EIF1AY_expression_category","KDM5D_expression..log.thresholds...5.6.","KDM5D_expression_category","NLGN4Y_expression..log.thresholds...4.5.","NLGN4Y_expression_category","RPS4Y1_expression..log.thresholds...6.8.","RPS4Y1_expression_category","TMSB4Y_expression..log.thresholds...2.5.3.","TMSB4Y_expression_category","USP9Y_expression..log.thresholds...4.5.","USP9Y_expression_category","UTY_expression..log.thresholds...4.5.","UTY_expression_category","ZFY_expression..log.thresholds...4.5.","ZFY_expression_category"
"X22RV1_PROSTATE",NA,23,"male_range",17478,"high_expression",4971,"high_expression",9959,"high_expression",1309,"high_expression",36161,"high_expression",430,"high_expression",7924,"high_expression",2413,"high_expression",3521,"high_expression"
"X2313287_STOMACH",NA,23,"male_range",10794,"high_expression",2984,"high_expression",7327,"high_expression",3,"female_range",19405,"high_expression",2,"female_range",6460,"high_expression",2007,"high_expression",1688,"high_expression"
"X5637_URINARY_TRACT",NA,15,"male_range",2424,"high_expression",2225,"high_expression",1787,"high_expression",667,"high_expression",16073,"high_expression",1615,"high_expression",2446,"high_expression",981,"high_expression",932,"high_expression"
"X647V_URINARY_TRACT",NA,57,"male_range",8263,"high_expression",127,"female_range",4648,"high_expression",869,"high_expression",65265,"high_expression",1938,"high_expression",5347,"high_expression",3192,"high_expression",2528,"high_expression"
"X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,48,"male_range",8105,"high_expression",5836,"high_expression",12353,"high_expression",2016,"high_expression",68166,"high_expression",507,"high_expression",3326,"high_expression",3205,"high_expression",3004,"high_expression"
"X786O_KIDNEY",NA,14,"male_range",22972,"high_expression",6492,"high_expression",4136,"high_expression",1477,"high_expression",44503,"high_expression",57,"high_expression",6196,"high_expression",2703,"high_expression",2911,"high_expression"
"A172_CENTRAL_NERVOUS_SYSTEM","male",38,"male_range",15374,"high_expression",4977,"high_expression",5736,"high_expression",4968,"high_expression",29466,"high_expression",168,"high_expression",6374,"high_expression",2131,"high_expression",2506,"high_expression"
"A2058_SKIN","male",47,"male_range",19425,"high_expression",4679,"high_expression",5592,"high_expression",1997,"high_expression",44513,"high_expression",53,"high_expression",3244,"high_expression",1570,"high_expression",2287,"high_expression"
"A427_LUNG",NA,56,"male_range",4125,"high_expression",1016,"high_expression",1434,"high_expression",4,"female_range",5386,"high_expression",96,"high_expression",487,"high_expression",249,"high_expression",365,"high_expression"
"A549_LUNG","male",28,"male_range",18125,"high_expression",5287,"high_expression",5006,"high_expression",887,"high_expression",27510,"high_expression",191,"high_expression",5170,"high_expression",1784,"high_expression",2704,"high_expression"
"A704_KIDNEY","male",70,"male_range",10500,"high_expression",7767,"high_expression",4639,"high_expression",746,"high_expression",75193,"high_expression",221,"high_expression",5462,"high_expression",2261,"high_expression",3449,"high_expression"
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",57,"male_range",12004,"high_expression",5032,"high_expression",7830,"high_expression",0,"female_range",28963,"high_expression",379,"high_expression",6154,"high_expression",3036,"high_expression",1747,"high_expression"
"AM38_CENTRAL_NERVOUS_SYSTEM","male",54,"male_range",9012,"high_expression",3243,"high_expression",2543,"high_expression",480,"high_expression",25,"female_range",122,"high_expression",2261,"high_expression",1173,"high_expression",1334,"high_expression"
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",29,"male_range",27008,"high_expression",10104,"high_expression",20036,"high_expression",2290,"high_expression",42283,"high_expression",999,"high_expression",8269,"high_expression",4174,"high_expression",3118,"high_expression"
"BHY_UPPER_AERODIGESTIVE_TRACT","male",46,"male_range",9359,"high_expression",1133,"high_expression",3191,"high_expression",29,"female_range",10732,"high_expression",173,"high_expression",5392,"high_expression",2783,"high_expression",839,"high_expression"
"BICR6_UPPER_AERODIGESTIVE_TRACT","male",69,"male_range",2994,"high_expression",1649,"high_expression",1017,"high_expression",158,"high_expression",15075,"high_expression",76,"high_expression",1523,"high_expression",1127,"high_expression",597,"high_expression"
"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",46,"male_range",17113,"high_expression",8313,"high_expression",11257,"high_expression",0,"female_range",47949,"high_expression",202,"high_expression",4559,"high_expression",2470,"high_expression",1436,"high_expression"
"BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","male",58,"male_range",27720,"high_expression",9414,"high_expression",9586,"high_expression",0,"female_range",32693,"high_expression",158,"high_expression",3519,"high_expression",2598,"high_expression",1641,"high_expression"
"C32_SKIN","male",25,"male_range",16027,"high_expression",3241,"high_expression",5033,"high_expression",4,"female_range",30095,"high_expression",187,"high_expression",3453,"high_expression",2078,"high_expression",2655,"high_expression"
"C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,11,"male_range",10269,"high_expression",4033,"high_expression",7398,"high_expression",1002,"high_expression",26635,"high_expression",207,"high_expression",4072,"high_expression",2066,"high_expression",1766,"high_expression"
"CAKI2_KIDNEY","male",44,"male_range",19104,"high_expression",3108,"high_expression",3215,"high_expression",1907,"high_expression",13727,"high_expression",187,"high_expression",7746,"high_expression",3216,"high_expression",2087,"high_expression"
"CAL33_UPPER_AERODIGESTIVE_TRACT","male",71,"male_range",38631,"high_expression",6882,"high_expression",14112,"high_expression",162,"high_expression",62906,"high_expression",419,"high_expression",18196,"high_expression",12936,"high_expression",3078,"high_expression"
"CAL78_BONE","male",142,"male_range",3467,"high_expression",3042,"high_expression",2969,"high_expression",828,"high_expression",5167,"high_expression",18,"intermediate_expression",1738,"high_expression",1009,"high_expression",534,"high_expression"
"CAS1_CENTRAL_NERVOUS_SYSTEM","male",32,"male_range",12157,"high_expression",3071,"high_expression",4880,"high_expression",3177,"high_expression",22019,"high_expression",62,"high_expression",6978,"high_expression",1812,"high_expression",1420,"high_expression"
"CHAGOK1_LUNG","male",59,"male_range",31726,"high_expression",5660,"high_expression",7668,"high_expression",6,"female_range",127318,"high_expression",578,"high_expression",10,"female_range",10370,"high_expression",8301,"high_expression"
"CHP212_AUTONOMIC_GANGLIA",NA,31,"male_range",26638,"high_expression",4154,"high_expression",7832,"high_expression",2084,"high_expression",44830,"high_expression",140,"high_expression",13382,"high_expression",2912,"high_expression",2127,"high_expression"
"CJM_SKIN",NA,50,"male_range",6176,"high_expression",6080,"high_expression",5458,"high_expression",801,"high_expression",28131,"high_expression",22,"high_expression",4483,"high_expression",2622,"high_expression",2649,"high_expression"
"CL11_LARGE_INTESTINE",NA,153,"male_range",8455,"high_expression",4621,"high_expression",4143,"high_expression",0,"female_range",65,"female_range",85,"high_expression",5096,"high_expression",1980,"high_expression",1563,"high_expression"
