cell_line,reported_sex,"XIST_expression (log thresholds = 6,8)",XIST_expression_category,"DDX3Y_expression (log thresholds = 6,7)",DDX3Y_expression_category,"EIF1AY_expression (log thresholds = 5,6)",EIF1AY_expression_category,"KDM5D_expression (log thresholds = 5,6)",KDM5D_expression_category,"NLGN4Y_expression (log thresholds = 4,5)",NLGN4Y_expression_category,"RPS4Y1_expression (log thresholds = 6,8)",RPS4Y1_expression_category,"TMSB4Y_expression (log thresholds = 2.5,3)",TMSB4Y_expression_category,"USP9Y_expression (log thresholds = 4,5)",USP9Y_expression_category,"UTY_expression (log thresholds = 4,5)",UTY_expression_category,"ZFY_expression (log thresholds = 4,5)",ZFY_expression_category
X22RV1_PROSTATE,NA,23,male_range,17478,high_expression,4971,high_expression,9959,high_expression,1309,high_expression,36161,high_expression,430,high_expression,7924,high_expression,2413,high_expression,3521,high_expression
X2313287_STOMACH,NA,23,male_range,10794,high_expression,2984,high_expression,7327,high_expression,3,female_range,19405,high_expression,2,female_range,6460,high_expression,2007,high_expression,1688,high_expression
X253JBV_URINARY_TRACT,NA,55,male_range,10,female_range,6,female_range,2,female_range,0,female_range,53,female_range,0,female_range,6,female_range,4,female_range,1,female_range
X253J_URINARY_TRACT,NA,67,male_range,13,female_range,7,female_range,8,female_range,3,female_range,45,female_range,0,female_range,6,female_range,2,female_range,4,female_range
X42MGBA_CENTRAL_NERVOUS_SYSTEM,NA,64,male_range,20,female_range,1,female_range,10,female_range,2,female_range,40,female_range,0,female_range,3,female_range,0,female_range,0,female_range
X5637_URINARY_TRACT,NA,15,male_range,2424,high_expression,2225,high_expression,1787,high_expression,667,high_expression,16073,high_expression,1615,high_expression,2446,high_expression,981,high_expression,932,high_expression
X59M_OVARY,NA,13605,high_expression,20,female_range,3,female_range,2,female_range,0,female_range,47,female_range,1,female_range,9,female_range,4,female_range,5,female_range
X639V_URINARY_TRACT,NA,78,male_range,25,female_range,5,female_range,3,female_range,2,female_range,46,female_range,0,female_range,1,female_range,1,female_range,8,female_range
X647V_URINARY_TRACT,NA,57,male_range,8263,high_expression,127,female_range,4648,high_expression,869,high_expression,65265,high_expression,1938,high_expression,5347,high_expression,3192,high_expression,2528,high_expression
X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,48,male_range,8105,high_expression,5836,high_expression,12353,high_expression,2016,high_expression,68166,high_expression,507,high_expression,3326,high_expression,3205,high_expression,3004,high_expression
X769P_KIDNEY,NA,39128,high_expression,16,female_range,3,female_range,13,female_range,0,female_range,52,female_range,0,female_range,8,female_range,4,female_range,0,female_range
X786O_KIDNEY,NA,14,male_range,22972,high_expression,6492,high_expression,4136,high_expression,1477,high_expression,44503,high_expression,57,high_expression,6196,high_expression,2703,high_expression,2911,high_expression
X8305C_THYROID,NA,14492,high_expression,19,female_range,4,female_range,6,female_range,2,female_range,53,female_range,0,female_range,4,female_range,6,female_range,3,female_range
X8505C_THYROID,NA,47,male_range,20,female_range,8,female_range,10,female_range,8,female_range,42,female_range,0,female_range,4,female_range,2,female_range,8,female_range
X8MGBA_CENTRAL_NERVOUS_SYSTEM,NA,188,male_range,16,female_range,8,female_range,7,female_range,14,female_range,36,female_range,3,female_range,5,female_range,0,female_range,4,female_range
A101D_SKIN,male,29849,high_expression,22,female_range,8,female_range,4,female_range,266,high_expression,73,female_range,0,female_range,12,female_range,0,female_range,6,female_range
A1207_CENTRAL_NERVOUS_SYSTEM,female,21,male_range,11,female_range,4,female_range,7,female_range,2,female_range,27,female_range,0,female_range,7,female_range,2,female_range,0,female_range
A172_CENTRAL_NERVOUS_SYSTEM,male,38,male_range,15374,high_expression,4977,high_expression,5736,high_expression,4968,high_expression,29466,high_expression,168,high_expression,6374,high_expression,2131,high_expression,2506,high_expression
A204_SOFT_TISSUE,female,27542,high_expression,24,female_range,11,female_range,20,female_range,4,female_range,87,female_range,0,female_range,12,female_range,8,female_range,5,female_range
A2058_SKIN,male,47,male_range,19425,high_expression,4679,high_expression,5592,high_expression,1997,high_expression,44513,high_expression,53,high_expression,3244,high_expression,1570,high_expression,2287,high_expression
A253_SALIVARY_GLAND,male,63,male_range,25,female_range,0,female_range,1,female_range,0,female_range,49,female_range,0,female_range,4,female_range,3,female_range,2,female_range
A2780_OVARY,female,37016,high_expression,26,female_range,1,female_range,12,female_range,88,intermediate_expression,17,female_range,0,female_range,7,female_range,2,female_range,4,female_range
A375_SKIN,female,29999,high_expression,18,female_range,6,female_range,1,female_range,12,female_range,36,female_range,2,female_range,0,female_range,0,female_range,1,female_range
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,151368,high_expression,18,female_range,6,female_range,5,female_range,0,female_range,51,female_range,0,female_range,11,female_range,5,female_range,2,female_range
A427_LUNG,NA,56,male_range,4125,high_expression,1016,high_expression,1434,high_expression,4,female_range,5386,high_expression,96,high_expression,487,high_expression,249,high_expression,365,high_expression
A498_KIDNEY,male,9517,high_expression,8,female_range,3,female_range,7,female_range,0,female_range,40,female_range,0,female_range,2,female_range,3,female_range,4,female_range
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,84017,high_expression,9,female_range,6,female_range,4,female_range,2,female_range,48,female_range,0,female_range,6,female_range,4,female_range,4,female_range
A549_LUNG,male,28,male_range,18125,high_expression,5287,high_expression,5006,high_expression,887,high_expression,27510,high_expression,191,high_expression,5170,high_expression,1784,high_expression,2704,high_expression
A673_BONE,female,80479,high_expression,18,female_range,6,female_range,0,female_range,75,intermediate_expression,39,female_range,0,female_range,7,female_range,7,female_range,4,female_range
A704_KIDNEY,male,70,male_range,10500,high_expression,7767,high_expression,4639,high_expression,746,high_expression,75193,high_expression,221,high_expression,5462,high_expression,2261,high_expression,3449,high_expression
ABC1_LUNG,male,24,male_range,6,female_range,6,female_range,12,female_range,2,female_range,26,female_range,1,female_range,7,female_range,2,female_range,2,female_range
ACCMESO1_PLEURA,NA,58087,high_expression,25,female_range,8,female_range,14,female_range,0,female_range,36,female_range,2,female_range,7,female_range,0,female_range,4,female_range
ACHN_KIDNEY,male,30,male_range,12,female_range,7,female_range,13,female_range,0,female_range,34,female_range,0,female_range,3,female_range,0,female_range,6,female_range
AGS_STOMACH,female,50669,high_expression,17,female_range,11,female_range,18,female_range,3,female_range,26,female_range,2,female_range,14,female_range,11,female_range,13,female_range
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,57,male_range,12004,high_expression,5032,high_expression,7830,high_expression,0,female_range,28963,high_expression,379,high_expression,6154,high_expression,3036,high_expression,1747,high_expression
AM38_CENTRAL_NERVOUS_SYSTEM,male,54,male_range,9012,high_expression,3243,high_expression,2543,high_expression,480,high_expression,25,female_range,122,high_expression,2261,high_expression,1173,high_expression,1334,high_expression
